code,pinyin,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000601,SNGF,韶能股份,水力发电,广东,17.03,10.8,10.81,124.29,27.77,82.31,15.81,1.46,0.321,4.47,1.63,19960830,13.84,1.28,10.89,-27.46,23.24,9.57,58896.0
000603,SDZY,盛达资源,铅锌,北京,44.94,5.79,6.9,41.7,9.43,9.95,4.52,0.66,0.256,3.15,4.86,19960823,17.91,2.6,-46.15,-48.18,35.31,16.73,36271.0
000605,BHGF,渤海股份,水务,北京,67.26,3.36,3.53,85.17,31.69,19.16,11.0,3.12,0.069,5.73,1.09,19960913,5.11,1.45,-1.62,3.52,27.0,1.85,19938.0
000606,SLB,顺利办,互联网,青海,28.43,7.07,7.66,28.72,7.46,0.3,19.65,2.57,0.10400000000000001,2.28,1.74,19961004,-9.87,-1.29,224.1,-26.69,7.92,1.98,36807.0
000607,HMKG,华媒控股,广告包装,浙江,203.09,8.85,10.18,37.65,13.78,1.63,-2.79,-0.27,0.01,1.63,2.5,19960830,9.2,0.9,-19.53,-78.38,19.99,1.49,35629.0
000608,YGGF,阳光股份,区域地产,广西,0.0,7.5,7.5,57.86,9.62,0.12,5.12,0.68,-0.11,3.75,1.08,19960919,12.58,1.68,-22.62,-81.25,94.27,-63.18,27055.0
000609,ZDTZ,中迪投资,区域地产,北京,0.0,2.92,2.99,46.43,44.29,0.07,0.49,0.17,-0.1,5.08,1.03,19961010,10.32,3.45,317.17,62.8,34.61,-31.42,26508.0
000610,XALY,西安旅游,旅游服务,陕西,17.94,2.35,2.37,14.41,8.46,1.15,3.95,1.67,0.37200000000000005,3.98,2.24,19960926,2.61,1.1,-72.07,2040.56,5.11,48.2,52030.0
000611,STTS,ST天首,纺织,内蒙,0.0,3.19,3.38,21.76,4.3,0.19,5.51,1.63,-0.084,1.13,2.92,19961008,-4.43,-1.31,-87.88,-47.33,-1.31,-742.7,16692.0
000612,JZWF,焦作万方,铝,河南,18.93,11.91,11.92,71.89,16.12,24.98,16.41,1.38,0.309,3.92,1.99,19960926,14.35,1.2,-1.03,1264.02,14.43,10.48,84520.0
000613,DDHA,大东海A,旅游服务,海南,0.0,2.66,3.64,0.96,0.13,0.34,0.54,0.15,-0.024,0.19,30.9,19970128,-3.48,-0.96,-53.28,-2086.18,5.06,-104.32,38593.0
000615,JHGF,京汉股份,全国地产,湖北,0.0,7.74,7.81,95.15,68.71,8.81,0.04,0.01,-0.12300000000000001,2.23,2.29,19961016,10.35,1.32,-15.67,-125.64,28.75,-6.58,44885.0
