代码	名称	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
603160	汇顶科技	20201202	20161017	          4.58	--  	--  	92.04	74.43	--  	19.14	59.61	4.02	12.93	17.18	33.11	6.85	12.98	--  	17.63	51.28	24.71	11.87	0.51	11.89	11.00	11.00	9.48	53.26	1.52	-2.11	95075.00	          2200	34.33万	-35.75	9.62	          9.60	469.71	13.93	0.51	2.440㈢	         16.26	0.00	          3.85	         11.64	          0.33	         80.86	  14.78㈢	         51.81	         23.14	         21.45	12.89	1623	603160	--  	--  	--  	
603161	科华控股	20201031	20180105	          1.33	--  	--  	36.72	12.72	--  	65.36	16.67	12.11	1.05	17.51	5.52	3.90	4.88	--  	7.15	11.27	9.95	-0.13	-0.01	-0.14	-0.17	-0.17	-0.30	3.65	3.13	1.57	12199.00	          5689	10.48万	-122.72	-2.80	          1.93	7.86	2.18	0.00	-0.120㈢	          9.53	0.00	          5.36	          2.74	          2.34	         34.64	  -1.30㈢	         11.72	         -1.16	         -1.47	0.46	2995	603161	--  	--  	--  	
603165	荣晟环保	20201031	20170117	          2.50	--  	--  	20.28	15.78	--  	22.21	13.07	4.51	0.78	1.71	7.87	0.52	1.50	--  	2.63	12.46	10.33	1.87	0.12	1.87	1.72	1.72	1.63	9.17	1.71	0.76	11524.00	          8850	11.51万	-7.38	-5.73	          2.14	19.03	2.61	2.34	0.690㈢	          6.07	6.07	          1.05	          3.66	          0.68	         77.79	  10.89㈢	         17.10	         15.01	         13.78	0.59	1012	603165	--  	--  	--  	
603166	福达股份	20201021	20141127	          5.92	--  	--  	34.27	21.96	--  	35.92	14.78	16.21	0.89	10.63	3.78	4.33	4.67	--  	10.40	12.59	9.46	1.63	-0.03	1.60	1.32	1.32	0.88	4.74	3.65	1.95	22882.00	          6039	3.97万	60.79	17.54	          1.77	10.65	3.09	2.30	0.220㈢	          3.71	0.00	          1.76	          0.80	          0.62	         64.08	   6.02㈢	         24.86	         12.93	         10.49	0.65	2559	603166	--  	--  	--  	
603167	渤海轮渡	20201125	20120906	          4.73	--  	--  	50.61	33.28	          1.94	30.42	5.83	36.25	0.02	7.77	1.92	0.68	0.34	0.08	9.85	7.99	6.63	1.48	-0.05	1.48	0.99	0.82	-0.09	16.49	2.35	-1.55	49786.00	          5675	4.91万	-76.24	-37.21	          1.23	17.40	5.12	4.62	0.170㈢	          7.04	0.00	          2.08	          3.49	          0.50	         65.75	   2.46㈢	         17.02	         18.57	         10.24	--  	1846	603167	--  	--  	--  	
603168	莎普爱思	20201029	20140702	          3.23	--  	--  	15.43	14.57	--  	5.55	9.26	5.67	0.49	0.82	3.82	0.71	0.19	--  	6.20	2.40	1.20	-0.53	0.08	-0.29	-0.28	-0.28	-0.62	4.05	0.23	1.59	21866.00	          8050	6.38万	-171.65	-40.61	          1.76	111.42	10.65	0.14	-0.090㈢	          4.52	0.00	          1.92	          1.26	          0.07	         94.45	  -1.93㈢	         50.07	        -22.08	        -11.68	0.15	1445	603168	--  	--  	--  	
603169	兰石重装	20201031	20141009	         10.52	--  	--  	113.79	17.63	          1.87	82.87	81.84	24.13	1.62	85.83	22.58	28.93	19.00	0.08	14.73	18.49	15.99	-0.65	0.02	-0.64	-0.66	-0.71	-0.95	-8.77	2.35	1.25	53517.00	          6934	2.95万	-234.63	-23.33	          2.54	19.04	2.42	0.00	-0.068㈢	          1.68	0.00	          1.40	         -0.83	          0.22	         15.49	  -4.04㈢	         13.55	         -3.50	         -3.85	0.23	3681	603169	--  	--  	--  	
603177	德创环保	20201030	20170207	          2.02	--  	--  	12.88	4.93	          0.01	61.68	10.11	1.65	0.39	7.67	0.81	4.03	4.13	--  	1.16	3.27	2.60	-0.51	-0.01	-0.51	-0.43	-0.41	-0.45	1.35	-0.90	-0.79	15707.00	          4189	3.53万	-324.02	-36.52	          3.45	-18.83	5.21	0.00	-0.200㈢	          2.44	0.00	          0.57	          0.67	         -0.45	         38.28	  -8.30㈢	         20.47	        -15.67	        -12.52	0.22	928	603177	--  	--  	--  	
603178	圣龙股份	20201104	20170328	          2.01	--  	--  	18.06	6.55	--  	63.72	6.23	7.41	1.35	10.04	1.00	2.01	2.70	0.22	3.21	8.40	7.28	0.38	0.44	0.38	0.38	0.38	0.05	1.00	1.92	-0.55	15366.00	          3317	3.19万	140.05	2.57	          2.95	10.09	2.30	0.00	0.191㈢	          3.26	3.26	          1.60	          0.50	          0.95	         36.28	   5.87㈢	         13.28	          4.51	          4.58	0.38	1425	603178	--  	--  	--  	
603179	新泉股份	20201102	20170317	          3.16	--  	--  	51.51	21.35	          0.47	57.64	33.56	10.73	1.90	24.24	5.38	9.30	10.14	--  	9.40	25.62	19.77	1.84	0.00	1.84	1.67	1.69	1.61	7.71	0.79	-1.65	7451.00	         18942	52.70万	29.07	19.47	          4.17	111.76	3.43	1.03	0.620㈢	          6.67	6.67	          2.97	          2.44	          0.25	         41.45	   7.90㈢	         22.83	          7.18	          6.58	1.16	2927	603179	--  	--  	--  	
603180	金牌厨柜	20201205	20170512	          1.03	--  	--  	31.93	14.05	          0.07	55.77	17.61	7.06	1.26	15.05	4.61	3.22	0.57	--  	5.39	16.15	10.86	1.66	0.18	1.69	1.48	1.49	1.03	7.30	3.03	-1.92	10560.00	          3162	16.22万	12.59	16.46	          3.66	17.48	3.28	1.15	1.600㈢	         14.02	14.02	          5.22	          7.07	          2.93	         44.00	  10.58㈢	         32.76	         10.29	          9.20	0.88	4325	603180	--  	--  	--  	
603181	皇马科技	20201015	20170824	          4.06	--  	--  	25.17	17.67	--  	29.78	11.32	8.27	1.18	2.64	0.37	1.32	2.31	--  	3.90	13.61	10.54	2.69	0.02	2.68	2.37	2.37	1.69	9.18	0.21	-1.37	12370.00	         32821	63.67万	28.97	-1.51	          4.46	383.55	5.79	1.06	0.590㈢	          4.35	0.00	          0.96	          2.26	          0.05	         70.22	  13.40㈢	         22.58	         19.77	         17.40	0.52	747	603181	--  	--  	--  	
603183	建研院	20201208	20170905	          2.98	--  	--  	15.24	12.11	          0.14	19.58	8.05	1.84	0.52	2.91	2.65	0.71	4.02	0.28	5.58	4.93	2.60	0.67	0.02	0.67	0.55	0.52	0.46	3.52	0.08	0.96	23632.00	          7243	6.19万	45.70	24.39	          2.11	326.66	5.17	0.96	0.190㈢	          4.06	0.00	          1.87	          1.18	          0.03	         79.47	   4.33㈢	         47.38	         13.66	         10.63	0.32	1382	603183	--  	--  	--  	
603185	上机数控	20201023	20181228	          2.33	--  	--  	43.49	21.79	--  	49.91	21.25	11.77	1.31	15.72	3.78	4.91	1.83	--  	8.75	19.47	14.18	4.02	0.07	4.03	3.43	3.43	3.31	8.66	1.54	0.38	8391.00	          6936	77.47万	125.55	317.44	         12.91	168.82	13.34	0.22	1.490㈢	          8.65	8.65	          3.77	          3.72	          0.66	         50.09	  15.72㈢	         27.18	         20.67	         17.59	0.74	1599	603185	--  	--  	--  	
603186	华正新材	20201127	20170103	          1.42	--  	--  	32.18	14.22	          0.11	55.46	19.76	6.83	1.68	15.89	2.82	2.88	8.06	0.08	8.03	15.64	12.33	1.04	0.01	1.03	0.94	0.93	0.73	4.66	1.62	1.40	17603.00	          4837	17.01万	18.84	5.01	          3.51	30.92	3.19	0.44	0.690㈢	         10.01	0.00	          5.65	          3.28	          1.14	         44.20	   6.53㈢	         21.16	          6.67	          5.94	0.84	1649	603186	--  	--  	--  	
603187	海容冷链	20201030	20181129	          1.58	--  	--  	29.19	17.57	          0.07	39.56	23.46	4.45	0.57	7.75	7.95	3.20	5.05	--  	6.79	14.13	9.20	2.59	0.00	2.57	2.18	2.16	2.18	7.19	2.82	-0.97	10540.00	         11222	60.81万	20.10	22.83	          5.28	30.45	6.08	0.79	1.370㈢	         10.26	10.26	          4.29	          4.54	          1.78	         60.20	  12.28㈢	         34.85	         18.36	         15.27	0.30	1297	603187	--  	--  	--  	
603188	ST亚邦	20201030	20140909	          5.76	--  	--  	41.92	27.08	          0.35	34.58	11.69	20.65	1.93	11.02	3.17	3.43	0.70	--  	4.23	5.10	3.98	-3.33	0.00	-3.33	-2.73	-2.51	-2.54	15.11	-0.10	0.95	21176.00	         18303	10.10万	-1603.29	-56.07	          1.17	-311.67	6.23	0.00	-0.440㈢	          4.70	0.00	          0.73	          2.62	         -0.02	         64.58	  -9.28㈢	         22.10	        -65.20	        -49.23	0.25	3810	603188	--  	--  	--  	
603189	网达软件	20201028	20160914	          2.21	--  	--  	10.40	8.78	--  	15.52	7.08	1.07	0.19	1.51	1.58	0.23	2.19	0.06	3.72	2.35	1.17	0.52	0.04	0.52	0.48	0.48	0.41	2.41	-0.08	0.72	29295.00	          3758	7.20万	93.27	27.08	          4.82	-504.79	18.00	0.26	0.220㈢	          3.98	0.00	          1.69	          1.09	         -0.04	         84.48	   5.51㈢	         50.27	         22.19	         20.56	0.47	1378	603189	--  	--  	--  	
603192	汇得科技	20201028	20180828	          1.07	--  	--  	18.35	12.39	--  	32.51	13.89	3.77	0.38	5.94	6.19	1.50	3.20	--  	7.16	9.43	7.45	0.80	0.02	0.79	0.70	0.70	0.67	3.67	0.57	0.23	9213.00	          2894	7.18万	-30.91	-11.16	          2.14	46.56	2.81	1.50	0.660㈢	         11.61	0.00	          6.71	          3.44	          0.53	         67.49	   5.67㈢	         20.97	          8.52	          7.45	0.43	542	603192	--  	--  	--  	
603195	公牛集团	20201029	20200206	          6.01	--  	--  	114.12	83.80	--  	26.57	94.84	12.03	3.03	29.91	22.81	5.97	1.82	--  	38.00	71.47	43.22	19.37	0.16	19.08	15.99	15.99	15.50	37.17	24.02	15.22	26903.00	          2230	41.56万	-8.77	-5.10	         13.36	46.60	15.66	2.04	2.690㈢	         13.95	0.00	          6.33	          6.19	          4.00	         73.43	  19.08㈢	         39.53	         27.10	         22.37	2.70	13884	603195	--  	--  	--  	
603196	日播时尚	20201029	20170531	          2.40	--  	--  	10.23	7.99	         -0.54	27.14	6.11	1.49	0.90	2.38	0.77	2.47	0.44	--  	3.83	5.38	2.16	-0.91	0.03	-0.97	-1.05	-0.75	-0.78	1.25	0.35	-0.54	12730.00	          5270	3.24万	-9559.87	-32.04	          1.85	42.64	2.75	3.25	-0.312㈢	          3.33	0.00	          1.60	          0.52	          0.14	         78.17	  -9.37㈢	         59.85	        -16.93	        -13.93	0.20	1416	603196	--  	--  	--  	
603197	保隆科技	20201028	20170519	          1.65	--  	--  	38.32	11.30	          2.44	64.15	22.54	8.85	1.04	14.00	6.47	6.75	7.02	0.05	1.53	23.11	15.88	1.58	0.00	1.57	1.16	1.40	1.25	7.78	1.20	-0.18	20967.00	          4781	13.68万	16.17	-2.10	          4.18	39.25	2.04	1.12	0.860㈢	          6.84	0.00	          0.92	          4.71	          0.73	         29.47	  12.43㈢	         31.28	          6.82	          6.07	1.80	4271	603197	--  	--  	--  	
603198	迎驾贡酒	20201109	20150528	          8.00	--  	--  	63.79	47.20	          0.17	25.74	43.92	13.77	1.16	15.45	1.53	28.07	0.37	--  	13.03	22.30	7.73	7.29	0.47	7.14	5.33	5.32	4.86	22.17	0.38	-6.87	51252.00	          3956	13.88万	-11.41	-15.82	          5.95	733.52	12.58	2.00	0.660㈢	          5.90	0.00	          1.63	          2.77	          0.05	         73.99	  11.27㈢	         65.34	         32.71	         23.85	0.24	6563	603198	--  	--  	--  	
603199	九华旅游	20201017	20150326	          1.11	--  	--  	13.77	11.89	--  	13.62	5.03	6.54	0.94	1.65	0.48	0.08	0.11	0.09	3.33	2.06	1.42	0.19	0.07	0.17	0.12	0.12	0.02	6.58	0.06	-1.23	11064.00	          3824	7.78万	-88.36	-50.72	          1.89	399.86	10.95	1.08	0.113㈢	         10.75	0.00	          3.01	          5.95	          0.05	         86.38	   1.05㈢	         30.77	          9.21	          6.07	--  	1546	603199	--  	--  	--  	
603200	上海洗霸	20201201	20170601	          1.01	--  	--  	11.47	8.25	          0.32	25.24	8.53	0.33	0.22	2.88	2.62	0.68	1.91	--  	3.76	4.11	2.83	0.55	0.01	0.56	0.49	0.51	0.50	3.15	-0.20	-1.47	16309.00	          2608	6.55万	-2.80	7.54	          3.07	-124.84	6.15	0.00	0.500㈢	          8.19	0.00	          3.73	          3.13	         -0.20	         71.95	   6.13㈢	         31.24	         13.47	         12.31	0.22	864	603200	--  	--  	--  	
603203	快克股份	20201102	20161108	          1.57	--  	--  	12.80	10.88	         -0.01	15.06	11.07	1.19	0.14	1.78	2.87	0.72	1.20	--  	3.51	3.66	1.71	1.43	0.16	1.43	1.29	1.30	1.11	5.05	1.26	0.15	9730.00	          5533	17.21万	3.71	8.53	          4.48	38.67	13.30	0.68	0.830㈢	          6.95	0.00	          2.24	          3.22	          0.80	         84.98	  11.91㈢	         53.41	         39.13	         35.40	0.27	723	603203	--  	--  	--  	
603208	江山欧派	20201030	20170210	          1.05	--  	--  	34.83	15.35	          1.45	51.75	22.63	8.67	2.18	15.14	4.94	4.73	5.24	--  	4.93	20.22	13.49	3.80	-0.13	3.79	3.23	3.12	2.83	8.55	0.89	-1.02	5646.00	          7095	72.30万	73.77	51.44	          6.97	120.07	5.29	0.75	2.970㈢	         14.61	0.00	          4.70	          8.14	          0.85	         44.07	  20.35㈢	         33.28	         18.77	         15.44	0.59	3532	603208	--  	--  	--  	
603212	赛伍技术	20201027	20200430	          4.00	--  	--  	28.42	17.96	         -0.01	36.85	22.44	2.59	0.66	9.32	4.78	2.46	9.04	--  	8.12	14.59	11.86	1.44	0.03	1.43	1.23	1.23	1.10	5.31	0.73	1.02	17241.00	          2321	8.59万	0.00	0.00	          8.24	201.65	10.15	0.14	0.320㈢	          4.49	0.00	          2.03	          1.33	          0.18	         63.20	   6.85㈢	         18.70	          9.86	          8.43	0.44	612	603212	--  	--  	--  	
603214	爱婴室	20201201	20180330	          1.43	--  	--  	17.47	10.39	          0.58	37.19	13.82	0.75	0.73	6.36	1.22	5.17	0.13	--  	4.34	16.10	11.16	0.95	0.16	0.92	0.67	0.64	0.39	4.75	1.49	-5.33	11549.00	          4657	12.29万	-26.53	-7.54	          3.63	25.25	2.34	1.35	0.460㈢	          7.28	0.00	          3.04	          3.33	          1.04	         59.50	   6.17㈢	         30.66	          5.88	          3.98	--  	3106	603214	--  	--  	--  	
603217	元利科技	20201027	20190620	          1.27	--  	--  	24.57	22.12	--  	9.96	16.86	6.03	0.77	2.24	2.78	1.78	0.88	--  	12.23	8.55	6.63	1.28	0.26	1.28	1.11	1.11	0.85	8.16	1.01	1.17	14943.00	          2768	7.63万	-8.99	-4.62	          1.59	34.76	4.11	1.55	0.873㈢	         17.36	0.00	          9.59	          6.40	          0.79	         90.04	   5.03㈢	         22.42	         15.02	         13.01	0.36	678	603217	--  	--  	--  	
603218	日月股份	20201204	20161228	          9.68	--  	--  	75.13	51.86	          0.01	30.96	55.00	14.48	1.99	22.58	19.95	4.59	14.52	0.00	17.80	37.34	26.36	8.30	0.03	8.23	7.02	7.02	6.90	24.82	5.32	-2.75	19627.00	         14000	35.62万	103.66	52.93	          4.07	46.24	6.59	0.65	0.920㈢	          6.25	6.25	          1.84	          2.57	          0.55	         69.03	  13.53㈢	         29.39	         22.22	         18.79	1.30	3065	603218	--  	--  	--  	
603220	中贝通信	20201030	20181115	          3.38	--  	--  	34.95	15.82	          1.13	51.48	29.96	2.15	0.48	17.89	3.25	3.68	19.95	--  	7.42	11.50	9.61	0.23	0.09	0.23	0.24	0.20	0.12	4.48	-2.05	-5.10	30961.00	          5451	8.82万	-73.63	4.35	          3.45	-26.65	4.75	0.93	0.060㈢	          4.68	0.00	          2.20	          1.33	         -0.61	         45.27	   1.29㈢	         16.44	          1.99	          1.77	0.45	2910	603220	--  	--  	--  	
603221	爱丽家居	20201031	20200323	          2.40	--  	--  	16.64	14.35	--  	13.77	11.00	3.56	1.00	2.05	3.76	1.80	1.42	--  	6.97	7.78	6.16	0.81	-0.00	0.79	0.62	0.62	0.61	4.51	1.04	2.14	19613.00	          3059	4.16万	0.00	0.00	          2.28	31.45	4.20	1.32	0.280㈢	          5.98	0.00	          2.90	          1.88	          0.43	         86.23	   4.31㈢	         20.82	         10.35	          7.95	0.19	1334	603221	--  	--  	--  	
603222	济民制药	20201130	20150217	          3.20	--  	--  	21.24	8.70	          1.56	51.69	6.95	7.22	2.18	8.63	1.57	1.17	2.11	--  	1.77	6.05	3.45	0.59	0.07	0.31	0.28	0.35	0.42	3.36	0.64	0.09	9272.00	         13093	53.81万	-15.60	4.65	         15.11	206.80	21.73	0.12	0.110㈢	          2.72	0.00	          0.55	          1.05	          0.20	         40.97	   4.00㈢	         43.01	          9.73	          5.76	0.17	2073	603222	--  	--  	--  	
603223	恒通股份	20201015	20150630	          2.82	--  	--  	18.07	10.96	          0.66	35.70	7.98	6.00	1.63	6.31	4.59	0.08	1.41	0.98	4.41	38.67	36.73	1.04	0.10	1.03	0.87	0.66	0.62	3.46	2.69	0.93	7770.00	         36324	75.63万	6286.61	-24.84	          5.36	21.82	1.52	0.01	0.230㈢	          3.88	0.00	          1.56	          1.23	          0.95	         60.67	   6.03㈢	          5.02	          2.70	          1.71	--  	1192	603223	--  	--  	--  	
603225	新凤鸣	20201204	20170418	         13.96	--  	--  	272.63	116.97	--  	57.10	70.34	135.39	10.99	97.74	32.35	20.62	2.26	--  	34.13	230.58	220.29	1.94	0.69	2.54	2.60	2.60	0.78	63.49	14.49	8.58	25461.00	         15275	19.48万	-76.51	-6.16	          1.58	12.29	0.77	1.02	0.190㈢	          8.08	8.08	          2.44	          4.55	          1.04	         42.90	   2.22㈢	          4.46	          0.84	          1.13	4.14	10887	603225	--  	--  	--  	
603226	菲林格尔	20201030	20170615	          2.10	--  	--  	12.32	9.53	--  	22.69	8.93	2.41	0.54	2.75	1.82	1.45	0.09	0.38	2.60	3.87	2.97	0.38	0.02	0.38	0.31	0.31	0.29	4.35	0.43	-4.65	13282.00	          4341	4.51万	-60.94	-32.24	          2.29	50.85	5.65	0.00	0.150㈢	          4.53	0.00	          1.24	          2.07	          0.20	         77.31	   3.28㈢	         23.33	          9.76	          8.08	0.14	628	603226	--  	--  	--  	
603227	雪峰科技	20201027	20150515	          6.59	--  	--  	37.39	13.26	          3.19	56.02	20.28	9.84	2.68	16.64	3.42	1.56	4.43	--  	3.26	13.47	10.56	1.57	-0.01	1.42	1.07	0.91	0.86	2.69	0.27	-1.28	39639.00	         10469	4.91万	2.08	-16.54	          2.33	115.41	2.29	1.07	0.138㈢	          2.01	0.00	          0.50	          0.41	          0.04	         35.46	   6.85㈢	         21.61	         11.64	          6.74	0.04	2668	603227	--  	--  	--  	
603228	景旺电子	20201125	20170106	          8.51	--  	--  	113.64	62.93	          2.08	42.79	70.09	28.72	2.47	31.69	15.85	8.73	19.81	--  	18.87	49.27	34.59	7.91	0.12	7.88	6.88	6.85	6.20	32.46	11.32	3.11	32728.00	          7697	22.98万	8.51	8.65	          4.25	22.45	5.16	0.72	0.820㈢	          7.03	7.03	          2.22	          3.81	          1.33	         55.38	  10.88㈢	         29.80	         16.06	         13.89	2.59	11092	603228	--  	--  	--  	
603229	奥翔药业	20201030	20170509	          2.24	--  	--  	9.13	6.99	--  	23.44	5.91	2.00	0.59	2.03	3.26	1.90	0.53	--  	1.65	3.02	1.32	0.74	0.01	0.73	0.66	0.66	0.63	2.82	0.91	-0.04	12944.00	          5292	20.80万	31.64	48.39	         12.60	96.56	29.16	0.14	0.300㈢	          3.12	0.00	          0.74	          1.26	          0.41	         76.56	   9.47㈢	         56.24	         24.47	         21.93	0.43	587	603229	--  	--  	--  	
603232	格尔软件	20201029	20170421	          1.93	--  	--  	14.90	12.42	          0.01	16.60	13.34	0.63	0.57	2.43	3.45	0.77	2.84	--  	7.54	1.76	0.80	-0.40	0.07	-0.35	-0.34	-0.34	-0.43	2.69	-0.41	2.48	11732.00	          8792	26.02万	-512.41	16.07	          4.60	-139.11	32.51	0.38	-0.190㈢	          6.43	0.00	          3.91	          1.39	         -0.21	         83.34	  -2.72㈢	         54.31	        -22.71	        -19.19	0.57	520	603232	--  	--  	--  	
603233	大参林	20201031	20170731	          6.56	--  	--  	99.19	49.92	          1.59	48.07	63.98	10.62	3.70	46.86	26.33	24.99	3.84	0.21	16.57	104.92	64.44	11.86	0.14	11.84	8.81	8.67	8.47	25.07	13.43	10.97	12019.00	         16885	133.15万	55.90	30.49	         10.37	38.53	4.93	0.63	1.320㈢	          7.61	0.00	          2.53	          3.82	          2.05	         50.33	  17.37㈢	         38.58	         11.31	          8.26	0.01	26762	603233	--  	--  	--  	
603236	移远通信	20201102	20190716	          1.07	--  	--  	41.54	18.02	--  	56.61	34.29	3.50	0.87	23.22	5.32	13.09	8.38	--  	11.62	42.08	33.52	1.14	0.03	1.21	1.25	1.25	0.99	4.98	-5.21	-0.64	21759.00	          3000	57.59万	33.84	47.40	         11.40	-39.44	4.88	0.22	1.170㈢	         16.84	0.00	         10.86	          4.65	         -4.87	         43.39	   6.93㈢	         20.34	          2.72	          2.97	4.37	1617	603236	--  	--  	--  	
603238	诺邦股份	20201027	20170222	          1.24	--  	--  	21.02	10.80	          1.99	39.17	8.87	7.01	1.21	8.03	2.51	1.61	2.14	--  	3.99	14.90	9.00	3.73	0.03	3.73	3.06	2.15	2.09	5.83	4.39	0.58	7146.00	          6322	21.65万	218.77	87.21	          3.92	9.65	2.84	0.71	1.790㈢	          8.74	0.00	          3.23	          4.71	          3.55	         51.38	  19.92㈢	         39.56	         25.02	         14.44	0.51	1024	603238	--  	--  	--  	
603239	浙江仙通	20201020	20161230	          2.71	--  	--  	10.98	9.32	--  	15.10	6.57	2.58	0.28	1.57	1.05	0.94	1.99	--  	3.01	4.12	2.54	0.81	0.00	0.80	0.71	0.71	0.69	2.86	0.07	-1.45	12877.00	          7045	12.70万	13.66	-5.94	          5.24	652.49	11.86	2.77	0.260㈢	          3.44	0.00	          1.11	          1.06	          0.03	         84.90	   7.58㈢	         38.34	         19.56	         17.17	0.20	1746	603239	--  	--  	--  	
603256	宏和科技	20201029	20190719	          8.78	--  	--  	20.97	14.48	--  	30.96	11.24	2.39	0.47	2.93	7.02	1.04	1.87	--  	2.94	4.61	2.80	0.99	0.07	1.03	0.86	0.86	0.74	2.28	0.82	4.31	22551.00	          6030	6.07万	5.86	-7.51	          6.10	107.56	19.17	0.72	0.100㈢	          1.65	0.00	          0.34	          0.26	          0.09	         69.04	   5.92㈢	         39.26	         21.58	         18.62	0.20	747	603256	--  	--  	--  	
603258	电魂网络	20201029	20161026	          2.44	--  	--  	28.29	21.36	          0.28	23.53	19.05	2.05	0.19	6.57	5.47	0.01	1.00	0.01	9.04	7.37	0.96	3.56	0.41	3.65	3.17	3.10	2.53	8.78	4.50	3.09	27011.00	          3248	10.46万	118.89	51.95	          3.68	17.45	10.67	1.40	1.290㈢	          8.75	0.00	          3.70	          3.60	          1.84	         75.49	  14.51㈢	         86.96	         48.28	         42.07	1.18	930	603258	--  	--  	--  	
603259	药明康德	20201030	20180508	         24.42	--  	          3.07	445.15	318.96	          1.88	27.92	239.90	52.28	10.09	73.53	134.75	23.62	36.09	--  	225.55	118.15	73.75	27.24	4.11	27.08	23.87	23.68	16.54	75.89	24.22	81.00	97040.00	         13068	142.44万	34.17	27.34	          8.35	109.91	22.53	0.21	1.030㈢	         13.06	0.00	          9.24	          3.11	          0.99	         71.65	   7.43㈢	         37.58	         23.05	         20.05	4.75	21744	603259	--  	--  	--  	
603260	合盛硅业	20201029	20171030	          9.38	--  	--  	184.56	90.00	          0.96	50.72	39.82	104.25	8.22	74.82	4.10	21.51	2.73	--  	20.26	63.20	45.53	8.40	-0.15	8.53	7.22	7.19	6.71	58.52	12.95	-0.29	25292.00	          5523	20.50万	-16.30	-3.41	          3.87	26.89	5.51	0.62	0.770㈢	          9.59	0.00	          2.16	          6.24	          1.38	         48.76	   7.99㈢	         27.96	         13.29	         11.37	1.66	7167	603260	--  	--  	--  	
603266	天龙股份	20201209	20170110	          1.99	--  	--  	12.42	9.74	--  	21.57	9.19	2.11	0.06	2.58	1.42	2.04	3.58	0.01	2.57	6.68	4.88	0.78	0.05	0.79	0.68	0.68	0.61	4.77	1.15	0.29	13859.00	          4619	5.63万	35.65	1.95	          2.49	21.07	3.63	0.57	0.340㈢	          4.90	0.00	          1.29	          2.40	          0.58	         78.43	   6.95㈢	         26.92	         11.70	         10.14	0.29	1433	603266	--  	--  	--  	
603267	鸿远电子	20201030	20190515	          2.31	--  	--  	27.95	24.20	--  	13.42	23.60	1.27	0.25	3.54	5.32	2.38	10.85	--  	12.59	11.41	6.00	3.82	0.00	3.82	3.20	3.20	3.07	8.56	-0.97	2.56	10004.00	         14166	156.63万	34.88	42.53	         10.58	-263.68	22.44	0.01	1.380㈢	         10.45	0.00	          5.44	          3.70	         -0.42	         86.58	  13.23㈢	         47.39	         33.47	         28.07	0.26	834	603267	--  	--  	--  	
603268	松发股份	20201029	20150319	          1.24	--  	--  	11.63	6.52	          0.76	37.41	4.52	2.46	0.59	4.12	0.33	2.08	1.44	--  	2.13	2.87	1.72	0.26	0.01	0.27	0.26	0.07	0.04	2.93	0.30	-0.36	5974.00	          8360	13.91万	-75.98	-32.87	          3.17	67.98	7.21	0.00	0.060㈢	          5.25	0.00	          1.71	          2.36	          0.24	         56.06	   1.09㈢	         40.15	          9.02	          2.48	0.14	1499	603268	--  	--  	--  	
603269	海鸥股份	20201029	20170517	          1.13	--  	--  	21.14	8.17	          0.11	60.85	16.34	2.51	0.81	11.81	2.73	7.27	3.19	--  	3.52	4.01	2.74	0.07	-0.03	0.07	0.04	0.04	0.00	3.04	0.29	0.47	7495.00	         10047	12.26万	-80.60	4.82	          1.68	47.79	3.42	1.33	0.040㈢	          7.26	0.00	          3.13	          2.71	          0.26	         38.64	   0.44㈢	         31.61	          1.76	          0.89	0.10	480	603269	--  	--  	--  	
603277	银都股份	20201028	20170911	          4.10	--  	--  	28.76	21.78	--  	24.27	19.61	5.25	0.70	6.45	2.80	4.75	1.92	--  	7.56	11.64	6.02	2.84	0.41	2.84	2.38	2.38	1.84	8.66	1.47	0.17	15858.00	          4343	5.47万	3.36	-9.40	          2.37	35.21	4.44	1.75	0.580㈢	          5.31	0.00	          1.84	          2.11	          0.36	         75.73	  10.92㈢	         48.26	         24.36	         20.43	0.31	1764	603277	--  	--  	--  	
603278	大业股份	20201112	20171113	          2.90	--  	--  	48.17	17.36	--  	63.96	30.00	14.11	1.66	25.11	8.37	3.63	8.16	--  	6.01	20.80	18.62	0.84	0.01	0.82	0.78	0.78	0.39	7.13	1.98	-1.18	15408.00	          6322	5.15万	-43.32	3.92	          1.44	11.96	1.14	1.94	0.270㈢	          5.65	5.65	          2.07	          2.46	          0.68	         36.04	   4.47㈢	         10.49	          4.05	          3.73	0.38	3373	603278	--  	--  	--  	
